ID,project_name, github, classes, total_sloc
classes ,9GAG,https://github.com/stormzhang/9GAG,55,6902
classes ,ActionBarSherlock,https://github.com/JakeWharton/ActionBarSherlock,158,41993
classes ,ActiveAndroid,https://github.com/pardom/ActiveAndroid,47,5497
classes ,Aeron,https://github.com/real-logic/Aeron,618,147674
classes ,afinal,https://github.com/yangfuhai/afinal,63,12959
classes ,AndEngine,https://github.com/nicolasgramlich/AndEngine,596,66222
classes ,android,https://github.com/github/android,191,17382
classes ,androidannotations,https://github.com/excilys/androidannotations,935,71703
classes ,AndroidAsync,https://github.com/koush/AndroidAsync,203,22930
classes ,android-async-http,https://github.com/loopj/android-async-http,84,12671
classes ,android-betterpickers,https://github.com/derekbrameyer/android-betterpickers,138,23127
classes ,android-bootstrap,https://github.com/AndroidBootstrap/android-bootstrap,89,7200
classes ,android-butterknife-zelezny,https://github.com/avast/android-butterknife-zelezny,26,2427
classes ,android-common,https://github.com/Trinea/android-common,77,13741
classes ,android-crop,https://github.com/jdamcd/android-crop,12,2276
classes ,android-flip,https://github.com/openaphid/android-flip,54,6334
classes ,android-floating-action-button,https://github.com/futuresimple/android-floating-action-button,5,1319
classes ,android-gpuimage,https://github.com/CyberAgent/android-gpuimage,96,11984
classes ,android-iconify,https://github.com/JoanZapata/android-iconify,35,6709
classes ,AndroidImageSlider,https://github.com/daimajia/AndroidImageSlider,32,5652
classes ,Android-Material-Example,https://github.com/saulmm/Android-Material-Example,15,1329
classes ,Android-Material-Examples,https://github.com/saulmm/Android-Material-Examples,15,1329
classes ,android-menudrawer,https://github.com/SimonVT/android-menudrawer,39,7157
classes ,androidmvp,https://github.com/antoniolg/androidmvp,10,577
classes ,Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView,148,17043
classes ,android-priority-jobqueue,https://github.com/path/android-priority-jobqueue,87,7019
classes ,android-process-button,https://github.com/dmytrodanylyk/android-process-button,11,1179
classes ,android-pulltorefresh,https://github.com/johannilsson/android-pulltorefresh,2,480
classes ,AndroidResideMenu,https://github.com/SpecialCyCi/AndroidResideMenu,8,1139
classes ,Android-RxJava,https://github.com/kaushikgopal/Android-RxJava,40,4285
classes ,android-saripaar,https://github.com/ragunathjawahar/android-saripaar,147,13843
classes ,Android-SlideExpandableListView,https://github.com/tjerkw/Android-SlideExpandableListView,7,928
classes ,AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,4,3237
classes ,android-stackblur,https://github.com/kikoso/android-stackblur,12,1188
classes ,AndroidStaggeredGrid,https://github.com/etsy/AndroidStaggeredGrid,13,5277
classes ,android-styled-dialogs,https://github.com/avast/android-styled-dialogs,20,2420
classes ,AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout,22,3383
classes ,android-testing,https://github.com/googlesamples/android-testing,65,5270
classes ,android-times-square,https://github.com/square/android-times-square,17,3056
classes ,Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,88,13879
classes ,android-UniversalMusicPlayer,https://github.com/googlesamples/android-UniversalMusicPlayer,2,75
classes ,AndroidViewAnimations,https://github.com/daimajia/AndroidViewAnimations,69,3377
classes ,android-viewbadger,https://github.com/jgilfelt/android-viewbadger,3,944
classes ,AndroidViewHover,https://github.com/daimajia/AndroidViewHover,5,956
classes ,android-volley,https://github.com/mcxiaoke/android-volley,80,9460
classes ,ansj_seg,https://github.com/NLPchina/ansj_seg,201,20528
classes ,auto,https://github.com/google/auto,257,42891
classes ,bamboo-storage,https://github.com/pushtorefresh/bamboo-storage,527,56735
classes ,Bolts-Android,https://github.com/BoltsFramework/Bolts-Android,26,5692
classes ,buck,https://github.com/facebook/buck,6984,1058962
classes ,Bukkit,https://github.com/Bukkit/Bukkit,731,65673
classes ,butterknife,https://github.com/JakeWharton/butterknife,156,16072
classes ,Calligraphy,https://github.com/chrisjenx/Calligraphy,16,1822
classes ,cardslib,https://github.com/gabrielemariotti/cardslib,266,54798
classes ,cassandra,https://github.com/apache/cassandra,2804,628730
classes ,circular-progress-button,https://github.com/dmytrodanylyk/circular-progress-button,13,1557
classes ,clojure,https://github.com/clojure/clojure,176,59584
classes ,closure-compiler,https://github.com/google/closure-compiler,1301,583963
classes ,config,https://github.com/typesafehub/config,118,19206
classes ,Context-Menu.Android,https://github.com/Yalantis/Context-Menu.Android,0,
classes ,Conversations,https://github.com/siacs/Conversations,380,77343
classes ,coursera-android,https://github.com/aporter/coursera-android,356,28585
classes ,cropper,https://github.com/edmodo/cropper,14,2170
classes ,ctci,https://github.com/gaylemcd/ctci,298,1125
classes ,cw-omnibus,https://github.com/commonsguy/cw-omnibus,1677,154390
classes ,dagger,https://github.com/square/dagger,123,13558
classes ,DBFlow,https://github.com/Raizlabs/DBFlow,5,241
classes ,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,5493,952700
classes ,dialogplus,https://github.com/orhanobut/dialogplus,17,1609
classes ,DiskLruCache,https://github.com/JakeWharton/DiskLruCache,5,2358
classes ,disruptor,https://github.com/LMAX-Exchange/disruptor,202,21826
classes ,DraggablePanel,https://github.com/pedrovgs/DraggablePanel,32,4286
classes ,drag-sort-listview,https://github.com/bauerca/drag-sort-listview,24,6043
classes ,droidicon,https://github.com/theDazzler/droidicon,42,3931
