project_name, github, classes, total_sloc
9GAG,https://github.com/stormzhang/9GAG,55,6902
ActionBarSherlock,https://github.com/JakeWharton/ActionBarSherlock,158,41993
ActiveAndroid,https://github.com/pardom/ActiveAndroid,47,5497
Aeron,https://github.com/real-logic/Aeron,618,147674
afinal,https://github.com/yangfuhai/afinal,63,12959
AndEngine,https://github.com/nicolasgramlich/AndEngine,596,66222
android,https://github.com/github/android,191,17382
androidannotations,https://github.com/excilys/androidannotations,935,71703
AndroidAsync,https://github.com/koush/AndroidAsync,203,22930
android-async-http,https://github.com/loopj/android-async-http,84,12671
android-betterpickers,https://github.com/derekbrameyer/android-betterpickers,138,23127
android-bootstrap,https://github.com/AndroidBootstrap/android-bootstrap,89,7200
android-butterknife-zelezny,https://github.com/avast/android-butterknife-zelezny,26,2427
android-common,https://github.com/Trinea/android-common,77,13741
android-crop,https://github.com/jdamcd/android-crop,12,2276
android-flip,https://github.com/openaphid/android-flip,54,6334
android-floating-action-button,https://github.com/futuresimple/android-floating-action-button,5,1319
android-gpuimage,https://github.com/CyberAgent/android-gpuimage,96,11984
android-iconify,https://github.com/JoanZapata/android-iconify,35,6709
AndroidImageSlider,https://github.com/daimajia/AndroidImageSlider,32,5652
Android-Material-Example,https://github.com/saulmm/Android-Material-Example,15,1329
Android-Material-Examples,https://github.com/saulmm/Android-Material-Examples,15,1329
android-menudrawer,https://github.com/SimonVT/android-menudrawer,39,7157
androidmvp,https://github.com/antoniolg/androidmvp,10,577
Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView,148,17043
android-priority-jobqueue,https://github.com/path/android-priority-jobqueue,87,7019
android-process-button,https://github.com/dmytrodanylyk/android-process-button,11,1179
android-pulltorefresh,https://github.com/johannilsson/android-pulltorefresh,2,480
AndroidResideMenu,https://github.com/SpecialCyCi/AndroidResideMenu,8,1139
Android-RxJava,https://github.com/kaushikgopal/Android-RxJava,40,4285
android-saripaar,https://github.com/ragunathjawahar/android-saripaar,147,13843
Android-SlideExpandableListView,https://github.com/tjerkw/Android-SlideExpandableListView,7,928
AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,4,3237
android-stackblur,https://github.com/kikoso/android-stackblur,12,1188
AndroidStaggeredGrid,https://github.com/etsy/AndroidStaggeredGrid,13,5277
android-styled-dialogs,https://github.com/avast/android-styled-dialogs,20,2420
AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout,22,3383
android-testing,https://github.com/googlesamples/android-testing,65,5270
android-times-square,https://github.com/square/android-times-square,17,3056
Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,88,13879
android-UniversalMusicPlayer,https://github.com/googlesamples/android-UniversalMusicPlayer,2,75
AndroidViewAnimations,https://github.com/daimajia/AndroidViewAnimations,69,3377
android-viewbadger,https://github.com/jgilfelt/android-viewbadger,3,944
AndroidViewHover,https://github.com/daimajia/AndroidViewHover,5,956
android-volley,https://github.com/mcxiaoke/android-volley,80,9460
ansj_seg,https://github.com/NLPchina/ansj_seg,201,20528
auto,https://github.com/google/auto,257,42891
bamboo-storage,https://github.com/pushtorefresh/bamboo-storage,527,56735
Bolts-Android,https://github.com/BoltsFramework/Bolts-Android,26,5692
buck,https://github.com/facebook/buck,6984,1058962
Bukkit,https://github.com/Bukkit/Bukkit,731,65673
butterknife,https://github.com/JakeWharton/butterknife,156,16072
Calligraphy,https://github.com/chrisjenx/Calligraphy,16,1822
cardslib,https://github.com/gabrielemariotti/cardslib,266,54798
cassandra,https://github.com/apache/cassandra,2804,628730
circular-progress-button,https://github.com/dmytrodanylyk/circular-progress-button,13,1557
clojure,https://github.com/clojure/clojure,176,59584
closure-compiler,https://github.com/google/closure-compiler,1301,583963
config,https://github.com/typesafehub/config,118,19206
Context-Menu.Android,https://github.com/Yalantis/Context-Menu.Android,0,
